city_from,city_to,transitmode,persona,total distance,time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long,rowiid
Greater Sudbury,Hastings Highlands,3,2,384km,1635,$132.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,136
Greater Sudbury,London,3,3,531km,510,$97.80,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,,137
Greater Sudbury,Hamilton,3,3,436km,710,$77.50,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,,138
Greater Sudbury,Toronto,3,3,400km,330,$65.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,,139
Greater Sudbury,Kitchener ,3,3,461km,535,$114.60,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,,140
Greater Sudbury,Barrie,3,3,292km,500,$75,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,,141
Greater Sudbury,Ottawa,3,3,484km,455,$84,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,,142
Greater Sudbury,North Bay ,3,3,127km,105,$35.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,,143
Greater Sudbury,Hastings Highlands,3,3,384km,1635,$152.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,144
Greater Sudbury,London,3,4,531km,510,$66.20,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,,145
Greater Sudbury,Hamilton,3,4,436km,710,$73.30,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,,146
Greater Sudbury,Toronto,3,4,400km,330,$53.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,,147
Greater Sudbury,Kitchener ,3,4,461km,535,$80.10,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,,148
Greater Sudbury,Barrie,3,4,292km,500,$52,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,,149
Greater Sudbury,Ottawa,3,4,484km,455,$68,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,,150
Greater Sudbury,North Bay ,3,4,127km,105,$24.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,,151
Greater Sudbury,Hastings Highlands,3,4,384km,1635,$132.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,152
Greater Sudbury,London,3,5,531km,510,$97.80,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,,153
Greater Sudbury,Hamilton,3,5,436km,710,$77.50,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,,154
Greater Sudbury,Toronto,3,5,400km,330,$65.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,,155
Greater Sudbury,Kitchener ,3,5,461km,535,$114.60,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,,156
Greater Sudbury,Barrie,3,5,292km,500,$75,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,,157
Greater Sudbury,Ottawa,3,5,484km,455,$84,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,,158
Greater Sudbury,North Bay ,3,5,127km,105,$35.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,,159
Greater Sudbury,Hastings Highlands,3,5,384km,1635,$152.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,160
Kitchener ,London,3,1,110km,95,$12.21,9:00 AM,,10:35 AM,43.449564,-80.492256,42.980546,-81.250705,,,,,161
Kitchener ,Hamilton,3,1,66km,90,$10,7:30 AM,,9:00 AM,43.449564,-80.492256,43.253217,-79.869159,,,,,162
